epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.73031,2.17944,3.68985,2.04507,0.00667,1,0.19,0.06324,2.73804,3.75322,3.17249,2e-05,2e-05,2e-05
2,14.2361,2.22604,3.79603,1.88781,0.00667,1,0.30632,0.0929,2.34099,3.78826,3.04371,5.9406e-05,5.9406e-05,5.9406e-05
3,20.7221,2.39803,4.03251,2.09589,0.00667,1,0.17043,0.07053,2.25385,3.28693,3.04156,9.802e-05,9.802e-05,9.802e-05
4,27.3146,2.19089,3.94973,2.00401,0.00667,1,0.2975,0.10688,2.00916,2.99655,2.7585,0.000135842,0.000135842,0.000135842
5,33.7163,1.71148,3.63314,1.53148,0.00667,1,0.2875,0.09632,1.7021,3.20296,2.60842,0.000172872,0.000172872,0.000172872
6,40.2718,1.72999,2.78808,1.6459,0.00667,1,0.19,0.09259,1.91025,3.11222,2.6236,0.00020911,0.00020911,0.00020911
7,46.7356,1.67679,2.70035,1.59206,0.00667,1,0.28321,0.0714,2.21932,3.06385,2.72891,0.000244556,0.000244556,0.000244556
8,53.1639,1.78161,2.54628,1.69713,0.00667,1,0.17949,0.04403,2.38216,3.58427,2.71293,0.00027921,0.00027921,0.00027921
9,59.3139,1.71233,2.71801,1.56187,0.00667,1,0.1772,0.04322,2.54631,3.27075,2.7633,0.000313072,0.000313072,0.000313072
10,65.5507,1.53627,2.69785,1.51191,0.00333,0.5,0.24835,0.06398,2.69039,3.19517,2.97663,0.000346142,0.000346142,0.000346142
11,71.8533,1.53999,2.32727,1.50567,0.00667,1,0.50401,0.20914,2.56597,3.20358,2.95181,0.00037842,0.00037842,0.00037842
12,78.205,1.83915,2.35765,1.95525,0.00667,1,0.50199,0.24854,2.64967,3.15051,3.07178,0.000409906,0.000409906,0.000409906
13,84.4647,1.66906,2.40145,1.59468,0.00667,1,0.49861,0.19887,2.45875,3.10673,2.99509,0.0004406,0.0004406,0.0004406
14,90.7173,1.531,2.27082,1.41313,0.00333,0.5,0.49585,0.29751,2.55433,3.18096,3.32231,0.000470502,0.000470502,0.000470502
15,97.0854,1.46769,2.5546,1.65524,0.00667,1,0.50766,0.29987,2.30264,3.1107,3.38845,0.000499612,0.000499612,0.000499612
16,103.382,1.61526,2.58313,1.43553,0.00667,1,0.51062,0.25244,2.033,3.59968,3.13425,0.00052793,0.00052793,0.00052793
17,109.653,1.92919,2.67652,1.91349,0.00667,1,0.63786,0.15529,2.23099,3.20143,2.91011,0.000555456,0.000555456,0.000555456
18,115.947,1.54019,2.71582,1.56162,0.00667,1,0.995,0.29009,2.19086,3.03573,2.40435,0.00058219,0.00058219,0.00058219
19,122.524,1.69926,2.7872,1.62314,0.00667,1,0.995,0.34775,1.96743,3.26236,2.42292,0.000608132,0.000608132,0.000608132
20,129.046,1.45073,2.96358,1.3129,0.00333,0.5,0.49585,0.24793,2.04479,3.27625,2.63441,0.000633282,0.000633282,0.000633282
21,135.443,1.49476,1.95119,1.41799,0.00667,1,0.54763,0.28312,2.18089,3.33463,2.91622,0.00065764,0.00065764,0.00065764
22,142.137,1.59869,2.15093,1.49288,0.00667,1,0.595,0.20935,2.3831,3.36041,2.96717,0.000681206,0.000681206,0.000681206
23,148.572,1.39618,1.98668,1.55484,0.00667,1,0.58591,0.10389,2.70384,3.83262,3.51749,0.00070398,0.00070398,0.00070398
24,155.061,1.37979,1.82606,1.40524,0.00667,1,0.54262,0.18527,2.39011,3.4137,3.14743,0.000725962,0.000725962,0.000725962
25,161.426,1.30773,2.50471,1.36059,0.43358,0.5,0.63786,0.43079,1.88778,3.2249,2.8996,0.000747152,0.000747152,0.000747152
26,167.911,1.5008,2.43257,1.67031,0.18955,0.5,0.63786,0.27633,1.8606,2.96289,2.70288,0.00076755,0.00076755,0.00076755
27,175.155,1.54749,1.92073,1.59671,0.01457,1,0.745,0.33003,1.8117,3.02714,2.5833,0.000787156,0.000787156,0.000787156
28,182.623,1.52322,2.27971,1.63186,0.01457,1,0.745,0.33003,1.8117,3.02714,2.5833,0.00080597,0.00080597,0.00080597
29,189.625,1.18969,1.76878,1.30496,0.00667,1,0.56167,0.31097,1.83986,3.0291,2.61942,0.000823992,0.000823992,0.000823992
30,196.629,1.2857,2.16855,1.45008,0.00667,1,0.995,0.59634,1.68475,2.68099,2.21498,0.000841222,0.000841222,0.000841222
31,204.018,1.33695,1.8724,1.41471,0.00667,1,0.995,0.59634,1.68475,2.68099,2.21498,0.00085766,0.00085766,0.00085766
32,211.082,1.82977,2.35301,1.82598,0.72459,0.5,0.745,0.30255,1.64196,2.65109,2.24625,0.000873306,0.000873306,0.000873306
33,218.133,1.17296,1.73171,1.30588,0.65323,1,0.82833,0.35282,1.68964,2.16855,1.78067,0.00088816,0.00088816,0.00088816
34,225.043,1.68964,1.83771,1.75376,0.65323,1,0.82833,0.35282,1.68964,2.16855,1.78067,0.000902222,0.000902222,0.000902222
35,232.505,1.62367,2.37679,1.6702,0.92908,1,0.995,0.57647,1.26786,2.39932,1.66067,0.000915492,0.000915492,0.000915492
36,239.5,1.30784,1.77859,1.35245,0.49238,1,0.82833,0.45365,1.43276,2.63926,1.81117,0.00092797,0.00092797,0.00092797
37,246.9,1.476,1.8938,1.58593,0.49238,1,0.82833,0.45365,1.43276,2.63926,1.81117,0.000939656,0.000939656,0.000939656
38,254.25,1.33312,2.01783,1.39008,0.88206,1,0.995,0.44709,1.7331,2.17376,2.21889,0.00095055,0.00095055,0.00095055
39,261.209,1.40442,1.69854,1.37426,1,0.98253,0.995,0.38756,1.74479,2.4068,2.19621,0.000960652,0.000960652,0.000960652
40,267.737,1.38798,1.87064,1.4814,1,0.98253,0.995,0.38756,1.74479,2.4068,2.19621,0.000969962,0.000969962,0.000969962
41,274.088,1.70184,1.76903,1.59214,0.61722,1,0.82833,0.43033,1.53499,2.28352,1.84305,0.00097848,0.00097848,0.00097848
42,280.487,1.44577,1.687,1.29971,0.92512,1,0.995,0.60617,1.35816,1.79978,1.57931,0.000986206,0.000986206,0.000986206
43,287.028,1.37093,1.80425,1.34014,0.92512,1,0.995,0.60617,1.35816,1.79978,1.57931,0.00099314,0.00099314,0.00099314
44,293.639,1.46335,1.53416,1.4796,0.43094,0.5,0.66167,0.30758,1.72767,2.18141,1.73984,0.000999282,0.000999282,0.000999282
45,300.178,1.33825,1.81857,1.31302,0.43094,0.5,0.66167,0.30758,1.72767,2.18141,1.73984,0.00100463,0.00100463,0.00100463
46,306.709,1.56094,2.06699,1.358,0.40374,0.5,0.35861,0.17816,1.30849,2.54269,1.58395,0.00100919,0.00100919,0.00100919
47,313.575,1.4803,1.91692,1.48028,0.40374,0.5,0.35861,0.17816,1.30849,2.54269,1.58395,0.00101296,0.00101296,0.00101296
48,320.585,1.40697,1.77042,1.36505,0.15312,0.5,0.53346,0.22571,1.56422,3.05954,1.94163,0.00101593,0.00101593,0.00101593
49,327.347,1.57665,2.14491,1.37517,0.15312,0.5,0.53346,0.22571,1.56422,3.05954,1.94163,0.00101811,0.00101811,0.00101811
50,334.098,1.33889,1.68051,1.30883,0.05248,0.5,0.185,0.08409,1.65251,3.13679,2.01612,0.0010195,0.0010195,0.0010195
51,340.573,1.56411,1.72859,1.46262,0.05248,0.5,0.185,0.08409,1.65251,3.13679,2.01612,0.00101,0.00101,0.00101
