epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,162.036,1.45622,1.62418,1.60924,0.00667,1,0.595,0.26242,1.81495,3.15386,2.25855,0.000493898,0.000493898,0.000493898
45,166.143,1.00566,1.45048,1.30722,0.00667,1,0.60611,0.26571,2.0919,3.14618,2.68382,0.000496672,0.000496672,0.000496672
46,169.792,1.20538,1.5922,1.41215,0.00667,1,0.60611,0.26571,2.0919,3.14618,2.68382,0.00049905,0.00049905,0.00049905
47,173.443,1.20814,1.48608,1.34233,0.00667,1,0.82833,0.27552,2.08927,3.1551,2.8933,0.000501032,0.000501032,0.000501032
48,177.375,1.07632,1.66509,1.26413,0.00667,1,0.82833,0.27552,2.08927,3.1551,2.8933,0.000502618,0.000502618,0.000502618
49,181.382,1.17788,1.48902,1.28731,0.00667,1,0.995,0.49734,1.83588,3.04201,2.39539,0.000503808,0.000503808,0.000503808
50,185.123,1.04326,1.82599,1.42892,0.00667,1,0.995,0.49734,1.83588,3.04201,2.39539,0.000504602,0.000504602,0.000504602
51,188.697,1.05006,1.34099,1.3414,0.00667,1,0.995,0.52233,1.57159,3.0488,1.9577,0.000505,0.000505,0.000505
52,192.183,0.94089,1.65668,1.14812,0.00667,1,0.995,0.52233,1.57159,3.0488,1.9577,0.000505002,0.000505002,0.000505002
53,195.673,1.40954,3.32477,1.75944,0.00667,1,0.995,0.52233,1.57159,3.0488,1.9577,0.000504608,0.000504608,0.000504608
54,199.282,1.52392,1.91456,1.57779,0.00667,1,0.82833,0.41391,1.39848,3.10377,1.77134,0.000503818,0.000503818,0.000503818
55,202.85,1.25286,1.68833,1.35768,0.00667,1,0.82833,0.41391,1.39848,3.10377,1.77134,0.000502632,0.000502632,0.000502632
56,206.328,1.18539,1.55477,1.3174,0.00667,1,0.82833,0.41391,1.39848,3.10377,1.77134,0.00050105,0.00050105,0.00050105
57,209.9,1.18088,1.87112,1.39987,0.00667,1,0.745,0.36493,1.20943,2.92562,1.58464,0.000499072,0.000499072,0.000499072
58,213.484,1.22493,1.47772,1.45968,0.00667,1,0.745,0.36493,1.20943,2.92562,1.58464,0.000496698,0.000496698,0.000496698
59,217.276,1.10419,1.40107,1.32866,0.00667,1,0.745,0.36493,1.20943,2.92562,1.58464,0.000493928,0.000493928,0.000493928
60,220.884,1.1013,1.7984,1.35986,0.00667,1,0.695,0.40073,0.97544,2.85476,1.31288,0.000490762,0.000490762,0.000490762
61,224.319,0.99801,1.90031,1.2046,0.00667,1,0.695,0.40073,0.97544,2.85476,1.31288,0.0004872,0.0004872,0.0004872
62,227.822,1.0864,1.93897,1.36787,0.00667,1,0.695,0.40073,0.97544,2.85476,1.31288,0.000483242,0.000483242,0.000483242
63,231.692,0.92007,1.47323,1.2425,0.03113,1,0.82833,0.57563,0.82024,2.50996,1.25911,0.000478888,0.000478888,0.000478888
64,235.369,1.05597,1.66175,1.26135,0.03113,1,0.82833,0.57563,0.82024,2.50996,1.25911,0.000474138,0.000474138,0.000474138
65,238.917,0.85766,1.3147,1.14775,0.03113,1,0.82833,0.57563,0.82024,2.50996,1.25911,0.000468992,0.000468992,0.000468992
66,242.876,0.86078,1.41239,1.1451,1,0.98469,0.995,0.77892,0.73449,2.58858,1.2327,0.00046345,0.00046345,0.00046345
67,246.88,0.93252,1.45269,1.17672,1,0.98469,0.995,0.77892,0.73449,2.58858,1.2327,0.000457512,0.000457512,0.000457512
68,250.423,1.06235,1.6119,1.26405,1,0.98469,0.995,0.77892,0.73449,2.58858,1.2327,0.000451178,0.000451178,0.000451178
69,254.08,1.16426,1.52355,1.43906,1,0.80621,0.995,0.72892,0.76458,2.3186,1.15956,0.000444448,0.000444448,0.000444448
70,257.535,1.03058,1.45251,1.27944,1,0.80621,0.995,0.72892,0.76458,2.3186,1.15956,0.000437322,0.000437322,0.000437322
71,261.04,1.18829,1.56313,1.32966,1,0.80621,0.995,0.72892,0.76458,2.3186,1.15956,0.0004298,0.0004298,0.0004298
72,264.724,0.92064,1.55717,1.23673,1,0.91554,0.995,0.82083,0.80527,1.95047,1.19315,0.000421882,0.000421882,0.000421882
73,268.562,1.07304,1.67386,1.35014,1,0.91554,0.995,0.82083,0.80527,1.95047,1.19315,0.000413568,0.000413568,0.000413568
74,272.154,0.90964,1.63737,1.2318,1,0.91554,0.995,0.82083,0.80527,1.95047,1.19315,0.000404858,0.000404858,0.000404858
75,276.395,1.05471,1.47297,1.27792,1,0.95675,0.995,0.796,0.88508,1.89382,1.24362,0.000395752,0.000395752,0.000395752
76,279.873,0.92777,1.33912,1.19577,1,0.95675,0.995,0.796,0.88508,1.89382,1.24362,0.00038625,0.00038625,0.00038625
77,283.533,0.8933,1.51355,1.1936,1,0.95675,0.995,0.796,0.88508,1.89382,1.24362,0.000376352,0.000376352,0.000376352
78,289.392,1.1303,1.67888,1.37382,1,0.9652,0.995,0.6965,1.00964,1.88491,1.3482,0.000366058,0.000366058,0.000366058
79,293.655,1.08267,1.50218,1.38656,1,0.9652,0.995,0.6965,1.00964,1.88491,1.3482,0.000355368,0.000355368,0.000355368
80,297.582,1.10968,1.61899,1.31298,1,0.9652,0.995,0.6965,1.00964,1.88491,1.3482,0.000344282,0.000344282,0.000344282
81,301.127,0.92348,1.1923,1.21114,1,0.96609,0.995,0.6965,1.04392,1.88284,1.37668,0.0003328,0.0003328,0.0003328
82,304.481,1.09211,1.47235,1.38029,1,0.96609,0.995,0.6965,1.04392,1.88284,1.37668,0.000320922,0.000320922,0.000320922
83,308.067,0.92772,1.21922,1.18808,1,0.96609,0.995,0.6965,1.04392,1.88284,1.37668,0.000308648,0.000308648,0.000308648
84,311.523,1.22366,1.36166,1.39388,1,0.97329,0.995,0.6965,1.00231,1.89184,1.34961,0.000295978,0.000295978,0.000295978
85,314.931,0.9329,1.36639,1.23696,1,0.97329,0.995,0.6965,1.00231,1.89184,1.34961,0.000282912,0.000282912,0.000282912
86,318.496,1.05787,1.3647,1.42024,1,0.97329,0.995,0.6965,1.00231,1.89184,1.34961,0.00026945,0.00026945,0.00026945
87,321.991,1.13003,1.55138,1.37466,1,0.97329,0.995,0.6965,1.00231,1.89184,1.34961,0.000255592,0.000255592,0.000255592
88,325.932,0.93351,1.20701,1.17276,1,0.98372,0.995,0.74609,0.95333,1.68586,1.28762,0.000241338,0.000241338,0.000241338
89,329.629,1.03978,1.36137,1.3181,1,0.98372,0.995,0.74609,0.95333,1.68586,1.28762,0.000226688,0.000226688,0.000226688
90,333.188,1.10091,1.43083,1.30598,1,0.98372,0.995,0.74609,0.95333,1.68586,1.28762,0.000211642,0.000211642,0.000211642
91,336.694,0.76421,1.43098,1.12558,1,0.98372,0.995,0.74609,0.95333,1.68586,1.28762,0.0001962,0.0001962,0.0001962
92,340.342,0.87125,1.29113,1.23057,0.99991,1,0.995,0.74609,0.82351,1.48959,1.14468,0.000180362,0.000180362,0.000180362
93,343.822,1.01119,1.63388,1.52197,0.99991,1,0.995,0.74609,0.82351,1.48959,1.14468,0.000164128,0.000164128,0.000164128
94,347.403,0.90876,1.42131,1.24914,0.99991,1,0.995,0.74609,0.82351,1.48959,1.14468,0.000147498,0.000147498,0.000147498
95,350.751,0.92925,1.37377,1.24657,0.99991,1,0.995,0.74609,0.82351,1.48959,1.14468,0.000130472,0.000130472,0.000130472
96,354.119,0.99409,1.50092,1.35074,0.98704,1,0.995,0.84559,0.71395,1.50468,1.0458,0.00011305,0.00011305,0.00011305
97,357.477,0.84238,1.50824,1.20255,0.98704,1,0.995,0.84559,0.71395,1.50468,1.0458,9.5232e-05,9.5232e-05,9.5232e-05
98,360.847,0.93957,1.56557,1.27589,0.98704,1,0.995,0.84559,0.71395,1.50468,1.0458,7.7018e-05,7.7018e-05,7.7018e-05
99,364.177,0.76609,1.35669,1.17324,0.98704,1,0.995,0.84559,0.71395,1.50468,1.0458,5.8408e-05,5.8408e-05,5.8408e-05
100,367.583,0.83633,1.42764,1.31308,0.9811,1,0.995,0.84559,0.68254,1.36657,1.02668,3.9402e-05,3.9402e-05,3.9402e-05
